sample_id,smiles
58,O=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C(SC(C)=C2)C3=C(C=C(C(SC(C4=C(F)C=C(C5=C(F)C=C(C)S5)S4)=C6)=C6C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=O)=O)C7=C3)C1=O
59,CC(S1)=CC2=C1C(C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C3=O)=O)=C(C3=C(C=C(C4=CC=C(C5=CC=C(C)S5)S4)S6)C6=C7C(N8CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)C7=C2C8=O
60,CC1=CC=C(/C(C(N2CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=O)=C(C(O3)=O)/C4=C3C=C(/C(C(O5)=O)=C6C7=CC=C(C8=CC=C(C9=CC=C(C)S9)S8)N=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/6=O)C5=C4)C2=N1
61,O=C(C1=C2C(C3=CC(C4=CC=C(/C=C/C5=CC=C(C)S5)S4)=C26)=C(C(N(OCCCCOCCOCCOCCCCCCCC)C3=O)=O)C(C)=C1)N(CCOCCOCCOCCOCCCCCCCC)C6=O
62,O=C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=C(SC(C)=C2)C3=C(C=C(C(SC(C4=CC=C(C5=CC=C(C)S5)S4)=C6)=C6C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C7=O)=O)C7=C3)C1=O
63,FB(N(C(C=C(C=N1)C)=C1C2=C(N(B(F)F)CC(CCCCCCCC)CCCCCCCCCC)C=C(C3=CC=C(C4=CC=C(C)S4)S3)C=N2)CC(CCCCCCCCCC)CCCCCCCC)F
64,CC1=CC=C(/C(C(N2CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=O)=C3C(OC4=C\3C=C5C(/C(C(O5)=O)=C6C(N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C7=C\6C=CC(C8=CC=C(C9=CC=C(C)S9)S8)=C7)=O)=C4)=O)C2=C1
65,CC1=C(C#N)C(C#N)=C(C2=CC(CCCCCCCCCCCCCCCCCC)=C(C3=C(CCCCCCCCCCCCCCCCCC)C=C(C)O3)O2)C4=NSN=C41
66,CC=C(/C=C/C4=CC=C(C)S4)S3)C=C5C6=C(C(N(CCCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)C5=O)=O)C(C)=CC(C1=O)=C26
67,O=C1/C(C2=CC=C(C)C=C2N1CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)=C(C(O3)=O)\C4=C3C(C=CC(/C5=C6C7=CC=C(C8=CC=C(C9=CC=C(C)S9)S8)C=C7N(CCCC(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C/6=O)=C%10OC5=O)=C%10C=C4
68,C(C4=CC=C(/C=C/C5=CC=C(C)S5)S4)C=C6C3=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C6=O)=O)C(C)=C2
69,O=C(N1CCCCCCCCOCCOCCOCCOC)C2=C(C3=CC=C(/C=C/C4=CC=C(C)S4)S3)C=C5C6=C(C(N(CCCCCCCCOCCOCCOCCOC)C5=O)=O)C(C)=CC(C1=O)=C26
70,O=C(C1=C2C(C3=CC(C4=CC=C(/C=C/C5=CC=C(C)S5)S4)=C26)=C(C(N(CCCCCCCCOCCOCCOCCOCC)C3=O)=O)C(C)=C1)N(CCCCCCCCOCCOCCOCCOCC)C6=O
71,O=C1C2=CC=C3C4=C2C(C(N1CC(CCCCCCCCCC)CCCCCCCCCCCC)=O)=CC(C5=CC=C(N(CCCCCC)C(C=CC(C)=C6)=C6S7)C7=C5)=C4C8=CC=C9C%10=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C9=O)=O)C=C(C)C3=C8%10
72,CC(C)(C)C1=CC2=C(C(C=C(C(C3C(C=CC=C4)=C4C5=C3C=CC=C5)C6=C7C=CC(C(C)(C)C)=C6)C7=C8)=C8C2C9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)C=C1
73,CC1=CC(CCCCCCCCCCCC)=C(C2=CC(CCCCCCCCCCCC)=C(C3=CC=C(C(C=C(/C(C4=C5C=CC(C6=C(CCCCCCCCCCCC)C=C(C7=C(CCCCCCCCCCCC)C=C(C)S7)S6)=C4)=C(C#N)/C#N)C5=C8)=C8/C9=C(C#N)/C#N)C9=C3)S2)S1
74,O=C(/C1=C2C(C=CC(C3=CC=C(C4=CC=C(C)S4)S3)=C5F)=C5N(CCCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C\2=O)N(CCCCC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C6=C1C=CC(C)=C6F
75,CC1=CN=C(C2=C3C(C(N2CC(CCCCCCCC)CCCCCC)=O)=C(C4=CC=C(C5=C(F)C(F)=C(C)S5)C=N4)N(CC(CCCCCC)CCCCCCCC)C3=O)C=C1
76,O=C1C(C2=C(C3=NC=C(C)C=C3)N1CC(CCCCCCCCCC)CCCCCCCC)=C(C4=NC=C(C5=CC=C(C6=CC=C(C)S6)S5)C=C4)N(CC(CCCCCCCCCC)CCCCCCCC)C2=O
77,CC1=CC=C(C2=C3C=C(C4=CC(SC(C)=C5)=C5S4)C=C2)C(C3(CCCCCCCC)CCCCCCCC)=C1
78,O=C1C2=C(C)SC(C3=CC=C(C4=C(CCCCCCCCCCCC)C5=C(C(CCCCCCCCCCCC)=C(C6=CC=C(C)S6)S5)S4)S3)=C2C(N1CC(CCCCCCCC)CCCCCCCCCC)=O
79,CC1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C(C(S2)=O)=C3C2=C(C4=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)C(S3)=O)S1
80,C6)=C6N(CCCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)C\3=O)=O)CCCCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)=C2C=C1
81,CC1=CC(N(CC(CCCCCCCC)CCCCCCCCCC)C(/C2=C3C(C=CC(C4=CC=C(C5=CC=C(C)S5)S4)=C6)=C6N(CC(CCCCCCCCCC)CCCCCCCC)C\3=O)=O)=C2C=C1
82,CC1=CC(N(CCC(CCCCCCCC)CCCCCCCCCC)C(/C2=C3C(C=CC(C4=CC=C(C5=CC=C(C)S5)S4)=C6)=C6N(CCC(CCCCCCCCCC)CCCCCCCC)C\3=O)=O)=C2C=C1
83,CC1=CC(N(CCCC(CCCCCCCC)CCCCCCCCCC)C(/C2=C3C(C=CC(C4=CC=C(C5=CC=C(C)S5)S4)=C6)=C6N(CCCC(CCCCCCCCCC)CCCCCCCC)C\3=O)=O)=C2C=C1
